type	latitude	longitude	altitude (m)
T	68.537996412	-133.778382478	85.9
T	68.538096582	-133.777787125	86.6			
T	68.538219325	-133.777147091	88.1			
T	68.538315256	-133.776565891	89.5			
T	68.538403103	-133.776042487	90.4			
T	68.538476923	-133.775690954	90.8			
T	68.538541775	-133.775309304	91.0			
T	68.538608162	-133.774953277	91.0			
T	68.538689722	-133.774476901	91.1			
T	68.538746790	-133.774174167	91.1			
T	68.538797946	-133.773866508	91.0			
T	68.538852487	-133.773571994	91.0			
T	68.538896449	-133.773319768	91.0			
T	68.538933168	-133.773108283	91.0			
T	68.539020229	-133.772607697	90.9			
T	68.539137027	-133.771965637	91.0			
T	68.539294276	-133.771067071	91.3			
T	68.539508216	-133.769846034	92.0			
T	68.539564703	-133.769555498	92.0			
T	68.539617129	-133.769242575	92.1			
T	68.539670004	-133.768932344	92.1			
T	68.539706877	-133.768725553	92.1			
T	68.539739838	-133.768540098	92.1			
T	68.539768823	-133.768365483	92.1			
T	68.539802115	-133.768210778	92.0			
T	68.539816735	-133.768087345	92.0			
T	68.539835585	-133.768017058	92.0
